Player,Score,Kills,Assists,Caps,Returns
Shady,"5,135",23,10,0,6
nato,"4,750",18,21,0,5
ContigencyPlan,"4,385",11,15,3,0
Annaberries,"4,330",24,13,0,0
String,"4,195",20,19,0,1
Vorpal,"3,845",21,9,0,1
anthing,"3,665",14,25,0,1
DeadManWalking,"3,470",15,9,0,1
Hiredgun,"1,730",2,3,1,1
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Tritium Jones,"5,635",27,10,0,6
nomlfir,"5,020",23,13,0,4
Mikesters,"4,790",24,12,1,0
Nyan,"3,005",5,13,0,6
Kilshot,"2,835",9,9,0,0
Wriggles,"2,260",8,15,0,0
RoamenCota,"1,795",1,9,0,1
bgkillas,"1,590",2,7,0,2
Shinen,"1,060",0,10,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
IceWinds,"6,570",35,17,0,3
erInys,"4,075",18,16,0,1
Bag,"3,940",12,13,0,6
pLaybox!,"3,900",17,17,0,0
ColonelFatso,"3,230",6,19,2,0
TribalChief,"3,220",12,10,0,3
tonyd169,"3,030",10,20,0,0
Gigabyte,"2,460",8,11,0,0
emma,"2,240",4,13,1,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Hosh,"6,835",31,21,2,2
Prizzo,"6,265",29,21,1,0
Lord Buschguy,"5,140",24,18,1,1
Slyce,"4,830",23,19,0,2
more_horchata,"3,395",14,10,0,0
kwago,"2,750",8,20,0,1
APC,"2,715",3,8,1,4
RednecK,"2,395",7,16,0,0
Nemesis,"1,580",4,9,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Gnome,"4,320",10,11,1,9
loot,"3,235",10,15,1,2
Jive,"2,870",14,16,0,0
Katar Xwokark,"2,810",16,12,0,0
SplitSecond,"2,430",12,5,0,2
Howsya,"2,300",9,3,1,0
_oahra,"1,935",5,7,1,1
NovA,"1,560",3,2,1,1
Mikea(x2),"1,515",5,14,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Didjital,"2,345",11,6,0,2
Dean,"1,620",8,6,0,0
Bizow,"1,575",9,3,0,0
Beldark,"1,350",4,3,0,2
G W E J,"1,195",5,6,0,0
Zao,660,2,2,0,0
SulliedSoc,620,2,1,0,0
Mansku,455,1,0,0,0
Fiftycal,455,1,0,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Rebeltrooper,"4,095",24,13,0,1
Visis,"2,090",9,5,0,1
LethalScout,"2,070",11,8,0,0
wafleking,"2,045",6,18,0,1
zsamot8,"1,450",7,5,0,0
Dugong,"1,440",5,6,0,1
Nightstar,"1,385",4,9,0,0
Clapmatic,990,3,6,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
PROJ,"3,710",15,9,1,3
GGGLYGY,"3,290",16,11,0,2
bizzy,"3,190",17,17,0,0
BakaToma,"2,745",10,13,0,3
Lightning McMeme,"2,485",6,25,0,1
Booleanaire,"1,820",5,8,1,0
DRAGON XIII,"1,995",0,3,3,0
n3mz,"1,115",4,6,0,0
Torment,740,1,6,0,0
