Player,Score,Kills,Assists,Captures,Returns
Bizow,"5,480",27,10,0,3
Didjital,"5,150",25,22,0,2
Dean,"5,120",22,22,1,1
G W E J,"4,695",27,13,0,0
Beldark,"3,480",12,13,0,4
SulliedSoc,"2,110",7,5,0,0
Zao,"1,655",3,3,1,0
Mansku,"1,645",1,4,1,1
Fiftycal,"1,545",2,4,0,2
,,,,,
Player,Score,Kills,Assists,Captures,Returns
Rebeltrooper,"8,080",47,30,0,1
Visis,"5,840",21,25,1,0
Nightstar,"4,945",21,28,0,0
Dugong,"4,150",19,26,0,0
sajent,"3,915",9,18,0,7
wafleking,"3,800",16,16,0,1
Clapmatic,"3,180",14,14,0,1
zsamot8,"2,785",8,16,0,2
LethalScout,865,1,2,0,0
,,,,,
Player,Score,Kills,Assists,Captures,Returns
IceWinds,"6,605",30,27,1,0
tonyd169,"6,470",27,23,1,2
pLaybox!,"5,940",29,21,0,1
Bag,"5,215",14,21,0,9
TribalChief,"4,960",27,9,0,2
erInys,"4,675",14,19,0,2
ColonelFatso,"4,785",16,14,2,2
Gigabyte,"3,160",14,9,0,0
emma,"2,495",6,13,0,2
,,,,,
Player,Score,Kills,Assists,Captures,Returns
Shady,"5,410",21,14,0,7
anthing,"5,370",24,14,0,1
Vorpal,"5,130",18,12,3,0
String,"5,030",22,14,0,3
nato,"4,725",20,25,0,2
Annaberries,"4,355",23,8,0,1
ContigencyPlan,"3,440",11,12,0,2
DeadManWalking,"3,505",10,12,0,1
Hiredgun,"1,065",0,1,0,1
,,,,,
Player,Score,Kills,Assists,Captures,Returns
HydroXide,"6,830",34,19,0,5
NikeBeamz,"5,480",25,17,0,4
Silyn,"4,625",25,10,0,1
cym3,"4,605",15,27,0,0
Pandora,"4,175",14,20,0,4
Smokin,"2,225",8,10,0,0
Ryan,"1,170",3,3,0,0
Blitz,"1,000",1,5,0,0
Darkness93,880,1,2,0,0
,,,,,
Player,Score,Kills,Assists,Captures,Returns
Hosh,"6,850",33,25,1,2
Prizzo,"6,800",33,22,1,2
Lord Buschguy,"6,430",27,22,1,5
kwago,"3,660",13,14,0,4
RednecK,"3,580",10,17,0,1
more_horchata,"3,540",14,6,0,1
APC,"3,460",11,9,0,3
Slyce,"2,775",12,10,0,1
Nemesis,"1,860",5,9,0,1
,,,,,
Player,Score,Kills,Assists,Captures,Returns
nomlfir,"5,070",22,11,1,1
Tritium Jones,"4,900",16,11,0,9
Wriggles,"3,815",8,18,0,1
Nyan,"3,510",11,14,0,4
Mikesters,"2,815",11,12,0,0
RoamenCota,"1,995",7,4,0,0
Kilshot,"1,725",6,6,0,0
bgkillas,"1,525",5,1,0,1
Shinen,"1,115",3,2,0,0
,,,,,
Player,Score,Kills,Assists,Captures,Returns
GGGLYGY,"6,325",33,11,1,0
PROJ,"5,860",22,19,1,5
BakaToma,"5,410",26,19,0,1
bizzy,"4,790",26,22,0,0
Booleanaire,"4,335",20,15,0,1
Lightning McMeme,"3,420",10,24,0,0
Torment,"2,495",3,9,1,3
n3mz,"2,020",8,9,0,0
DRAGON XIII,865,1,2,0,0
