Player,Score,K,A,C,R
Rebeltrooper,"5,440",31,20,0,0
Visis,"4,630",19,19,1,1
Dugong,"4,085",16,20,0,3
wafleking,"3,740",19,15,0,0
Nightstar,"3,740",16,16,0,2
sajent,"3,710",13,15,0,4
Clapmatic,"2,365",6,25,0,0
zsamot8,"2,205",8,11,0,0
LethalScout,"1,235",3,8,0,0
,,,,,
Player,Score,K,A,C,R
SplitSecond,"5,610",28,23,1,0
loot,"4,860",21,18,0,1
Gnome,"4,420",17,23,0,4
Jive,"4,395",18,22,1,0
Mikea(x2),"4,340",24,15,0,1
Howsya,"3,080",14,11,0,1
Katar Xwokark,"2,815",9,15,0,2
_oahra,"2,490",10,5,1,0
NovA,"2,305",2,11,2,0
,,,,,
Player,Score,K,A,C,R
Dean,"6,925",26,30,3,0
Didjital,"5,605",28,21,0,2
G W E J,"5,060",20,21,0,3
Beldark,"4,715",16,16,0,7
Bizow,"4,630",23,12,0,0
Zao,"2,310",7,9,0,2
Fiftycal,"1,740",6,6,0,0
SulliedSoc,"1,735",5,9,0,0
Mansku,"1,170",3,3,0,0
,,,,,
Player,Score,K,A,C,R
nomlfir,"6,910",32,26,0,4
Mikesters,"5,660",27,24,1,0
Tritium Jones,"4,300",13,15,0,7
Wriggles,"3,550",16,20,0,0
Nyan,"3,430",17,5,0,2
Kilshot,"3,320",8,13,0,0
RoamenCota,"2,570",8,8,0,1
bgkillas,"2,110",7,4,0,2
Shinen,"1,295",4,3,0,0
,,,,,
Player,Score,K,A,C,R
IceWinds,"6,065",35,17,0,1
Bag,"4,700",20,11,1,3
tonyd169,"3,950",13,20,0,2
pLaybox!,"3,725",16,16,0,1
erInys,"3,675",11,20,0,1
ColonelFatso,"3,555",15,13,1,0
TribalChief,"3,395",14,9,0,3
Gigabyte,"2,445",9,9,0,0
emma,"1,780",4,3,1,0
,,,,,
Player,Score,K,A,C,R
bizzy,"5,795",29,20,0,2
Lightning McMeme,"4,815",19,23,1,0
GGGLYGY,"4,465",22,12,0,1
PROJ,"4,450",13,29,1,2
BakaToma,"3,895",16,14,0,3
Booleanaire,"3,805",17,18,0,0
Torment,"3,280",14,13,0,1
n3mz,"2,100",8,11,0,0
DRAGON XIII,"1,475",3,6,0,1
,,,,,
Player,Score,K,A,C,R
Shady,"6,565",18,28,0,12
nato,"6,250",23,27,1,5
Vorpal,"5,305",25,15,1,1
String,"4,670",20,16,0,1
anthing,"4,410",20,19,0,0
ContigencyPlan,"4,340",13,13,2,0
Annaberries,"3,455",16,9,0,0
DeadManWalking,"3,030",10,4,0,0
Hiredgun,835,0,1,0,0
,,,,,
Player,Score,K,A,C,R
NikeBeamz,"8,080",38,18,1,6
HydroXide,"7,010",31,25,1,1
Pandora,"5,615",20,18,0,8
Silyn,"5,310",24,11,0,2
cym3,"4,545",16,26,0,0
Ryan,"3,345",10,5,1,3
Smokin,"2,475",8,13,0,0
Darkness93,"1,870",7,5,0,0
Blitz,"1,160",1,6,0,0
