Player,Score,Kills,Assists,Caps,Returns
Vorpal,"6,030",24,17,0,8
Shady,"5,485",23,20,0,5
nato,"5,190",23,26,0,3
Annaberries,"4,425",23,15,0,1
ContigencyPlan,"4,345",13,19,1,3
String,"3,505",16,17,0,0
DeadManWalking,"3,100",13,5,0,0
anthing,"2,890",11,21,0,0
Hiredgun,830,0,2,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Gnome,"8,575",28,30,0,16
SplitSecond,"7,375",36,35,0,4
Jive,"6,560",25,35,1,1
loot,"6,100",29,30,0,1
_oahra,"5,005",26,22,0,1
Katar Xwokark,"4,725",26,20,0,0
Mikea(x2),"4,100",17,20,1,0
Howsya,"3,310",13,9,1,0
NovA,"1,165",2,6,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Visis,"6,370",36,20,0,0
Dugong,"5,310",27,20,0,2
Rebeltrooper,"5,235",27,30,0,0
wafleking,"5,135",25,20,0,2
sajent,"5,015",14,25,0,7
Nightstar,"4,975",23,23,0,1
Clapmatic,"2,965",13,17,0,0
zsamot8,"2,505",9,18,0,0
LethalScout,"1,715",4,12,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Lord Buschguy,"8,195",35,44,2,2
Prizzo,"7,430",42,38,0,0
kwago,"6,195",21,34,0,7
Slyce,"6,045",31,24,0,2
Hosh,"5,985",29,25,1,1
RednecK,"4,890",18,25,1,1
more_horchata,"2,930",11,13,0,0
Nemesis,"1,930",7,8,0,0
APC,"1,680",4,8,0,1
,,,,,
Player,Score,Kills,Assists,Caps,Returns
PROJ,"7,215",30,27,1,5
Lightning McMeme,"6,520",25,40,1,2
bizzy,"6,380",29,33,1,1
BakaToma,"6,055",17,28,0,10
Booleanaire,"6,000",30,26,0,2
GGGLYGY,"5,370",30,24,0,0
n3mz,"5,065",25,22,0,2
Torment,"3,040",4,22,1,1
DRAGON XIII,"1,525",5,6,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Bizow,"6,310",32,16,0,2
Didjital,"5,455",29,24,0,1
Beldark,"5,450",22,26,0,5
Dean,"5,065",27,22,0,0
G W E J,"4,605",16,25,0,4
Zao,"3,250",14,16,0,1
SulliedSoc,"2,505",7,8,0,1
Fiftycal,"1,895",7,9,0,0
Mansku,"1,725",5,6,0,1
,,,,,
Player,Score,Kills,Assists,Caps,Returns
nomlfir,"7,665",37,31,1,2
Tritium Jones,"6,830",24,22,0,11
Kilshot,"4,640",16,24,0,1
Mikesters,"4,560",13,24,2,0
Wriggles,"4,555",21,17,1,0
Nyan,"4,270",19,18,0,2
RoamenCota,"2,485",5,9,0,3
bgkillas,"2,195",9,8,0,0
Shinen,"2,070",7,8,0,1
,,,,,
Player,Score,Kills,Assists,Caps,Returns
HydroXide,"8,380",46,32,0,3
NikeBeamz,"7,135",37,29,0,3
Pandora,"5,040",22,26,0,2
Silyn,"5,015",22,16,0,4
cym3,"4,020",14,26,0,0
Blitz,"3,755",19,12,0,0
Smokin,"3,075",12,10,1,0
Ryan,"2,035",4,9,1,0
Darkness93,"1,250",3,5,0,0
