Player,Score,Kills,Assists,Caps,Returns
Vorpal,"7,315",37,21,0,4
nato,"7,250",30,25,0,8
Shady,"6,210",22,24,0,8
String,"6,075",32,20,0,0
Annaberries,"5,090",24,26,0,0
anthing,"4,335",21,20,0,0
ContigencyPlan,"4,135",17,13,0,2
DeadManWalking,"3,640",13,13,0,0
Hiredgun,"1,350",2,0,0,1
,,,,,
Player,Score,Kills,Assists,Caps,Returns
PROJ,"9,295",35,27,0,13
bizzy,"7,510",38,36,0,2
GGGLYGY,"7,195",43,23,0,0
BakaToma,"5,770",22,18,0,7
Booleanaire,"4,895",23,28,0,0
Lightning McMeme,"4,230",12,36,0,0
Torment,"3,515",13,16,0,1
n3mz,"2,745",9,18,0,0
DRAGON XIII,"1,270",2,3,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
HydroXide,"6,655",40,18,0,1
NikeBeamz,"4,880",19,23,1,2
Pandora,"4,645",14,23,1,4
Silyn,"4,400",21,10,0,2
cym3,"3,765",16,20,0,1
Smokin,"3,320",17,8,0,1
Ryan,"2,385",2,4,1,4
Darkness93,"1,825",6,5,0,1
Blitz,"1,790",3,1,1,1
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Gnome,"7,695",22,14,1,16
loot,"5,620",24,27,1,1
SplitSecond,"5,250",27,15,0,3
Jive,"5,020",25,15,0,1
Katar Xwokark,"4,010",20,19,0,0
Mikea(x2),"3,180",13,17,0,1
_oahra,"2,695",12,13,0,0
Howsya,"2,365",5,11,0,2
NovA,"1,490",3,6,0,1
,,,,,
Player,Score,Kills,Assists,Caps,Returns
TribalChief,"4,575",27,10,0,1
IceWinds,"4,510",23,19,0,1
tonyd169,"4,280",17,12,1,1
pLaybox!,"4,410",18,14,1,1
Bag,"3,400",16,15,0,1
ColonelFatso,"3,240",8,11,2,1
erInys,"3,150",14,20,0,0
emma,"2,595",3,8,1,4
Gigabyte,"2,160",8,9,0,1
,,,,,
Player,Score,Kills,Assists,Caps,Returns
sajent,"4,910",22,14,0,5
Rebeltrooper,"4,655",27,17,0,0
Nightstar,"3,850",18,20,0,1
Visis,"3,060",14,15,0,0
Clapmatic,"2,810",7,21,0,1
wafleking,"2,560",10,14,0,0
zsamot8,"2,285",10,10,0,0
Dugong,"1,585",5,9,0,0
LethalScout,845,1,3,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Prizzo,"6,455",40,21,0,0
Lord Buschguy,"6,365",32,30,0,2
Hosh,"5,345",22,32,1,1
RednecK,"3,805",17,18,0,1
Slyce,"3,615",17,15,0,1
APC,"3,445",6,7,2,4
more_horchata,"3,030",9,6,0,3
kwago,"2,925",8,10,1,2
Nemesis,"2,835",8,8,1,2
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Didjital,"4,275",23,11,0,0
Dean,"3,960",19,24,0,0
G W E J,"3,820",17,19,0,1
Bizow,"3,635",20,13,0,0
Beldark,"3,380",17,6,0,2
SulliedSoc,"2,355",7,6,0,2
Zao,"1,595",4,7,0,1
Mansku,"1,265",2,5,0,1
Fiftycal,860,1,3,0,0
